,Season,Player,Pos,Age,Tm,G,GS,MP_per_game,FG,FGA,FG_Perc,3P,3PA,3P_Perc,2P,2PA,2P_Perc,eFG_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS_per_game,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
0,1990,Alaa Abdelnaby,PF,22,POR,43,0,6.7,1.3,2.7,0.474,0.0,0.0,0.0,1.3,2.7,0.474,0.474,0.6,1.0,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1,290,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,0.0,0.5,0.5,0.079,-4.2,-0.7,-5.0,-0.2
1,1990,Mahmoud Abdul-Rauf,PG,21,DEN,67,19,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.43200000000000005,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,1505,12.2,0.44799999999999995,0.099,0.09699999999999999,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1.0,-0.031,-1.7,-4.4,-6.1,-1.6
2,1990,Mark Acres,C,28,ORL,68,0,19.3,1.6,3.1,0.509,0.0,0.0,0.33299999999999996,1.6,3.1,0.512,0.512,1.0,1.5,0.653,2.1,3.2,5.3,0.4,0.4,0.4,0.6,3.2,4.2,1313,9.2,0.551,0.013999999999999999,0.47200000000000003,11.3,18.7,14.9,2.5,0.9,1.1,14.0,9.3,1.4,1.1,2.5,0.09,-2.1,0.3,-1.8,0.1
3,1990,Michael Adams,PG,28,DEN,66,66,35.5,8.5,21.5,0.39399999999999996,2.5,8.5,0.29600000000000004,6.0,13.0,0.45899999999999996,0.45299999999999996,7.0,8.0,0.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,2.5,26.5,2346,22.3,0.53,0.397,0.37200000000000005,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,5.8,0.4,6.3,0.128,7.1,-2.7,4.4,3.8
4,1990,Mark Aguirre,SF,31,DET,78,13,25.7,5.4,11.7,0.462,0.3,1.0,0.308,5.1,10.7,0.47700000000000004,0.475,3.1,4.1,0.757,1.7,3.1,4.8,1.8,0.6,0.3,1.6,2.7,14.2,2006,16.7,0.526,0.086,0.349,7.6,13.7,10.7,11.6,1.2,0.6,10.9,25.7,2.8,2.7,5.5,0.132,0.9,-0.3,0.7,1.4
5,1990,Danny Ainge,SG,31,POR,80,0,21.4,4.2,8.9,0.47200000000000003,1.3,3.1,0.406,2.9,5.8,0.508,0.5429999999999999,1.4,1.7,0.826,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1,1710,17.0,0.574,0.35200000000000004,0.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,4.1,2.1,6.2,0.175,3.4,-0.6,2.8,2.1
6,1990,Mark Alarie,PF,27,WSB,42,1,14.0,2.4,5.4,0.44,0.1,0.5,0.23800000000000002,2.2,4.9,0.461,0.451,1.0,1.1,0.8540000000000001,1.0,1.8,2.8,1.1,0.4,0.2,1.0,2.1,5.8,587,11.3,0.496,0.09300000000000001,0.213,7.6,14.2,10.9,11.2,1.3,0.8,14.0,20.3,0.1,0.6,0.6,0.05,-2.4,-1.1,-3.6,-0.2
7,1990,Steve Alford,PG,26,DAL,34,0,6.9,1.7,3.4,0.504,0.2,0.7,0.304,1.5,2.8,0.5529999999999999,0.534,0.8,0.9,0.8390000000000001,0.3,0.4,0.7,0.6,0.2,0.0,0.5,0.3,4.4,236,20.5,0.578,0.19699999999999998,0.265,4.8,6.8,5.8,16.4,1.7,0.3,10.9,27.5,0.5,0.1,0.6,0.121,2.4,-3.8,-1.4,0.0
8,1990,Greg Anderson,PF,26,TOT,68,2,13.6,1.7,4.0,0.43,0.0,0.0,0.0,1.7,4.0,0.431,0.43,0.9,1.7,0.522,1.4,3.3,4.7,0.2,0.5,0.7,1.2,2.1,4.3,924,9.1,0.455,0.004,0.426,10.0,25.9,17.3,2.1,1.7,2.7,20.8,16.3,-1.2,0.9,-0.3,-0.017,-6.8,-0.8,-7.5,-1.3
9,1990,Greg Anderson,PF,26,MIL,26,0,9.5,1.0,2.8,0.37,0.0,0.0,0.0,1.0,2.8,0.375,0.37,0.6,1.1,0.5710000000000001,1.0,1.9,2.9,0.1,0.3,0.3,0.8,1.1,2.7,247,7.5,0.41,0.013999999999999999,0.384,12.3,24.1,18.1,1.7,1.6,2.3,20.5,18.6,-0.5,0.4,-0.1,-0.027000000000000003,-7.8,-1.3,-9.1,-0.4
10,1990,Greg Anderson,PF,26,NJN,1,0,18.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,6.0,1.0,2.0,0.0,1.0,4.0,8.0,18,26.4,1.0,0.0,0.0,22.4,12.1,17.5,9.1,5.4,0.0,20.0,11.2,0.1,0.0,0.1,0.3,8.3,2.5,10.9,0.1
11,1990,Greg Anderson,PF,26,DEN,41,2,16.1,2.1,4.7,0.44,0.0,0.0,0.0,2.1,4.7,0.44,0.44,1.1,2.1,0.506,1.6,4.1,5.8,0.3,0.6,0.9,1.5,2.6,5.2,659,9.2,0.46299999999999997,0.0,0.451,8.7,27.0,17.0,2.1,1.6,2.9,20.9,15.6,-0.8,0.5,-0.3,-0.022000000000000002,-6.8,-0.6,-7.5,-0.9
12,1990,Nick Anderson,SG,23,ORL,70,42,28.2,5.7,12.2,0.467,0.2,0.8,0.293,5.5,11.4,0.479,0.47700000000000004,2.5,3.7,0.6679999999999999,1.3,4.2,5.5,1.5,1.1,0.6,1.6,2.1,14.1,1971,15.1,0.51,0.068,0.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,1.2,1.9,3.1,0.075,-1.1,0.1,-1.0,0.5
13,1990,Ron Anderson,SF,32,PHI,82,13,28.5,6.2,12.9,0.485,0.1,0.5,0.209,6.1,12.3,0.49700000000000005,0.49,2.0,2.4,0.833,1.3,3.2,4.5,1.4,0.8,0.2,1.2,2.0,14.6,2340,15.5,0.524,0.040999999999999995,0.188,5.0,12.4,8.8,8.2,1.4,0.3,8.1,23.2,2.3,1.8,4.1,0.085,-0.5,-1.8,-2.3,-0.2
14,1990,Willie Anderson,SG,24,SAS,75,75,34.6,6.0,13.2,0.457,0.1,0.5,0.2,5.9,12.7,0.467,0.461,2.3,2.8,0.7979999999999999,0.9,3.8,4.7,4.8,1.1,0.6,2.2,3.0,14.4,2592,13.0,0.499,0.035,0.215,3.1,11.5,7.5,20.2,1.5,1.1,13.3,20.1,1.3,3.5,4.8,0.08900000000000001,-0.8,0.9,0.1,1.4
15,1990,Michael Ansley,SF,23,ORL,67,1,13.1,2.1,3.9,0.5479999999999999,0.0,0.0,0.0,2.1,3.9,0.5479999999999999,0.5479999999999999,1.4,1.9,0.7170000000000001,1.8,2.0,3.8,0.4,0.4,0.1,0.5,1.9,5.7,877,16.9,0.594,0.0,0.483,14.7,16.8,15.7,4.3,1.5,0.5,9.1,16.3,2.3,0.7,3.1,0.168,1.2,-1.2,0.0,0.4
16,1990,B.J. Armstrong,PG,23,CHI,82,0,21.1,3.7,7.7,0.48100000000000004,0.2,0.4,0.5,3.5,7.3,0.48,0.493,1.2,1.4,0.8740000000000001,0.3,1.5,1.8,3.7,0.9,0.0,1.3,1.4,8.8,1731,14.8,0.529,0.047,0.17600000000000002,1.7,8.3,5.1,23.4,2.0,0.1,13.6,19.5,2.3,1.8,4.1,0.114,-0.4,-1.4,-1.8,0.1
17,1990,Vincent Askew,SG,24,GSW,7,0,12.1,1.7,3.6,0.48,0.0,0.0,0.0,1.7,3.6,0.48,0.48,1.3,1.6,0.818,1.0,0.6,1.6,1.9,0.3,0.0,0.9,3.0,4.7,85,10.9,0.5529999999999999,0.0,0.44,9.1,5.2,7.1,20.1,1.1,0.0,16.7,16.8,0.1,0.0,0.2,0.09300000000000001,0.1,-2.7,-2.6,0.0
18,1990,Keith Askins,SF,23,MIA,39,1,6.8,0.9,2.1,0.42,0.2,0.6,0.24,0.7,1.4,0.5,0.457,0.3,0.6,0.48,0.8,1.0,1.7,0.5,0.4,0.3,0.3,1.2,2.2,266,13.5,0.467,0.309,0.309,12.4,16.2,14.3,10.2,2.9,3.0,10.7,15.8,0.2,0.4,0.6,0.10300000000000001,-0.6,2.0,1.4,0.2
19,1990,Milos Babic,PF,22,CLE,12,0,4.3,0.5,1.6,0.316,0.0,0.0,0.0,0.5,1.6,0.316,0.316,0.6,1.0,0.583,0.5,0.3,0.8,0.3,0.1,0.1,0.4,0.6,1.6,52,6.0,0.391,0.0,0.632,13.4,6.7,10.0,10.9,1.0,1.2,17.1,24.6,-0.1,0.0,-0.1,-0.085,-6.0,-2.6,-8.6,-0.1
20,1990,Thurl Bailey,PF,29,UTA,82,22,30.3,4.9,10.6,0.45799999999999996,0.0,0.0,0.0,4.9,10.6,0.45899999999999996,0.45799999999999996,2.7,3.3,0.8079999999999999,1.2,3.7,5.0,1.5,0.6,1.1,1.6,2.0,12.4,2486,12.5,0.513,0.003,0.311,5.1,13.6,9.6,7.7,1.1,2.3,11.6,20.0,0.6,3.1,3.7,0.07200000000000001,-2.4,1.2,-1.2,0.5
21,1990,Cedric Ball,PF,22,LAC,7,0,3.7,0.4,1.1,0.375,0.0,0.0,0.0,0.4,1.1,0.375,0.375,0.3,0.3,1.0,0.7,0.9,1.6,0.0,0.0,0.3,0.3,0.7,1.1,26,10.8,0.45,0.0,0.25,20.4,25.3,22.8,0.0,0.0,4.6,18.4,17.0,0.0,0.0,0.0,0.054000000000000006,-7.4,-4.3,-11.7,-0.1
22,1990,Ken Bannister,PF,30,LAC,47,3,7.2,0.9,1.7,0.531,0.0,0.0,0.0,0.9,1.7,0.5379999999999999,0.531,0.5,1.4,0.385,0.7,1.3,2.0,0.2,0.1,0.1,0.5,1.6,2.4,339,7.8,0.506,0.012,0.802,10.6,20.0,15.3,3.6,0.7,1.2,18.6,16.1,-0.2,0.4,0.2,0.027999999999999997,-5.0,-1.2,-6.3,-0.4
42,1990,Charles Barkley,SF,27,PHI,67,67,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,2498,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,0.258,9.0,0.9,9.9,7.4
43,1990,Dana Barros,PG,23,SEA,66,0,11.4,2.3,4.7,0.495,0.5,1.2,0.395,1.8,3.5,0.53,0.547,1.2,1.3,0.9179999999999999,0.3,0.8,1.1,1.7,0.3,0.0,0.8,0.6,6.3,750,18.8,0.6,0.26,0.273,2.7,8.7,5.7,21.9,1.5,0.1,13.4,22.5,2.1,0.4,2.5,0.158,3.0,-3.2,-0.2,0.3
44,1990,John Battle,SG,28,ATL,79,2,23.6,5.0,10.9,0.461,0.2,0.6,0.28600000000000003,4.8,10.3,0.47100000000000003,0.469,3.4,4.0,0.8540000000000001,0.4,1.6,2.0,2.7,0.6,0.1,1.4,1.8,13.6,1863,16.4,0.5379999999999999,0.057,0.36700000000000005,1.9,7.6,4.7,18.4,1.2,0.2,10.1,24.7,3.4,0.6,4.0,0.102,0.7,-3.1,-2.4,-0.2
45,1990,Kenny Battle,SG,26,TOT,56,8,16.9,2.4,5.0,0.47200000000000003,0.1,0.4,0.125,2.3,4.6,0.504,0.47700000000000004,1.3,1.7,0.753,1.5,1.7,3.1,1.1,1.1,0.3,0.9,1.9,6.1,945,12.4,0.525,0.085,0.33,8.2,10.3,9.2,7.9,2.8,1.0,14.1,14.7,0.7,0.6,1.3,0.068,-1.1,0.4,-0.7,0.3
46,1990,Kenny Battle,SG,26,PHO,16,4,16.4,2.4,5.4,0.442,0.0,0.1,0.0,2.4,5.3,0.452,0.442,1.3,1.8,0.69,1.3,2.0,3.3,0.9,1.2,0.4,1.1,1.6,6.0,263,12.8,0.486,0.023,0.337,9.2,12.7,11.0,7.5,3.4,1.3,14.7,17.9,0.0,0.4,0.4,0.081,-1.7,1.8,0.2,0.1
47,1990,Kenny Battle,SG,26,DEN,40,4,17.1,2.4,4.9,0.485,0.1,0.6,0.136,2.3,4.4,0.529,0.49200000000000005,1.3,1.6,0.7809999999999999,1.6,1.5,3.1,1.2,1.0,0.3,0.9,2.1,6.1,682,12.3,0.542,0.11199999999999999,0.327,7.8,9.4,8.5,8.1,2.5,0.9,13.8,13.4,0.7,0.2,0.9,0.063,-0.8,-0.2,-1.0,0.2
48,1990,William Bedford,C,27,DET,60,4,9.4,1.8,4.0,0.43799999999999994,0.1,0.2,0.385,1.7,3.8,0.441,0.44799999999999995,0.9,1.3,0.705,0.9,1.3,2.2,0.5,0.0,0.6,0.5,1.3,4.5,562,15.5,0.49200000000000005,0.054000000000000006,0.322,11.1,15.5,13.3,9.2,0.2,4.1,10.4,24.1,0.5,0.8,1.3,0.113,-1.6,0.2,-1.4,0.1
