,Player,Season,MIPFlag,Age,Pos,G,MP,MP_per_game,FG,FT,FG_Perc,3P_Perc,eFG_Perc,FT_Perc,TRB,AST,STL,BLK,PS_per_game,USG_Perc,year_no
441,Alaa Abdelnaby,1991,0.0,23,3,28.0,644.0,6.499999999999999,1.2,0.5000000000000001,0.019000000000000017,0.0,0.019000000000000017,0.18400000000000005,1.6,0.10000000000000003,0.30000000000000004,-0.09999999999999998,3.0,-1.5,2.0
899,Alaa Abdelnaby,1992,0.0,24,3,4.0,377.0,4.300000000000002,0.7999999999999998,0.09999999999999988,0.025000000000000026,0.0,0.025000000000000026,0.007000000000000006,0.7999999999999998,0.0,-0.10000000000000003,0.09999999999999998,1.6000000000000003,-0.10000000000000142,3.0
1348,Alaa Abdelnaby,1993,0.0,25,3,-62.0,-1152.0,-5.300000000000002,-1.4999999999999998,0.0,-0.08200000000000003,0.0,-0.08200000000000003,-0.11900000000000001,-1.0,-0.2,-0.09999999999999998,-0.09999999999999998,-2.8,2.1000000000000014,4.0
1829,Alaa Abdelnaby,1994,0.0,26,3,41.0,347.0,-2.799999999999999,0.4000000000000001,-0.7999999999999999,0.07500000000000001,0.0,0.07500000000000001,-0.06899999999999995,-1.4,0.0,0.09999999999999998,0.0,-0.20000000000000015,3.0,5.0
442,Mahmoud Abdul-Rauf,1991,0.0,22,6,14.0,33.0,-3.5,-1.7999999999999998,-0.10000000000000007,0.008000000000000063,0.09000000000000002,0.015000000000000013,0.013000000000000013,-0.4000000000000001,-0.7000000000000002,-0.30000000000000004,-0.1,-3.799999999999999,-0.5,2.0
902,Mahmoud Abdul-Rauf,1992,1.0,23,6,0.0,1172.0,14.5,3.3999999999999995,1.5000000000000002,0.02899999999999997,0.02499999999999997,0.034999999999999976,0.06500000000000006,1.4,1.8000000000000005,0.5,0.1,8.899999999999997,-1.1999999999999993,3.0
1349,Mahmoud Abdul-Rauf,1993,0.0,24,6,-1.0,-93.0,-0.7999999999999972,-0.39999999999999947,0.0,0.010000000000000007,-0.03899999999999998,0.0010000000000000564,0.02099999999999991,-0.6999999999999997,0.2999999999999998,0.0,0.0,-1.1999999999999993,-0.6000000000000014,4.0
1832,Mahmoud Abdul-Rauf,1994,0.0,25,6,-7.0,-535.0,-4.200000000000003,-0.9000000000000004,-0.8000000000000003,0.009999999999999952,0.07,0.034999999999999976,-0.07099999999999995,-0.20000000000000015,-0.8999999999999999,0.10000000000000007,0.0,-2.0,0.9000000000000021,5.0
2281,Mahmoud Abdul-Rauf,1995,0.0,26,6,-16.0,-53.0,7.100000000000001,0.7999999999999998,0.7000000000000002,-0.035999999999999976,0.0060000000000000045,-0.013999999999999957,0.04500000000000004,0.5,3.2,0.0,0.0,3.1999999999999997,-0.6999999999999993,6.0
2826,Mahmoud Abdul-Rauf,1996,0.0,27,6,18.0,102.0,-7.200000000000002,-1.7999999999999998,-1.1,0.01100000000000001,-0.010000000000000007,-0.0010000000000000564,-0.08400000000000007,-0.7999999999999998,-4.3,-0.4000000000000001,0.0,-5.5,-1.900000000000002,7.0
3400,Mahmoud Abdul-Rauf,1997,0.0,28,6,-44.0,-1601.0,-11.299999999999995,-2.2,-1.0,-0.068,-0.221,-0.11,0.15400000000000005,-0.4000000000000001,-0.6000000000000001,-0.2,-0.1,-6.4,1.900000000000002,8.0
