 TIME || TYPE || TITLE || STATUS 

07/11/2019, 16:27  || others || Jacinda Ardern || A pretty historic moment - today we pass our Zero Carbon legislation into law. Tried to summarise what it means for New Zealand...||
28/11/2019, 23:03  || others || Jacinda Ardern || Forty years ago today 257 people lost their lives in a tragedy that we commonly refer to as “Erebus.” I’ll struggle to summarise the words from today’s commemoration, so instead I’ll post the link to the full apology that too many people waited too long for. https://www.beehive.govt.nz/…/prime-minster-delivers-erebus…||
27/11/2019, 17:57  || others || Jacinda Ardern || Mixed emotions today as we opened the new Suicide Prevention Office. There’s so much support for the work to end suicide in New Zealand - people like Nehe Milner-Skudder who is working in mental health and well-being with @headfirstnz. All of us want a country where an office like this isn’t needed, till then I’m grateful for all the people working to make that world possible (like Sir Mason Durie who has kindly agreed to chair our Maori Advisory Board and keep sharing all his wisdom.)||
21/11/2019, 17:04  || others || Jacinda Ardern || Despite coming from a police family (my dad was in the police for 40 years) I’ve never been to a graduation. But today the 1800th police officer graduated since we took office. So impressed with the diversity, skills and qualifications in the wing we saw - the top graduate had a background in mental health. A very proud day (and in case you missed it, I’m the one who’s not in blue...)||
18/11/2019, 16:02  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 18 November 2019||
16/11/2019, 14:33  || others || Jacinda Ardern || This year was the second year in a row that I've asked for a little bit help to design my Christmas card. Once again, I was absolutely overwhelmed by all the creative and wonderful artwork we received. To all the children and young people who sent something in - thank you so much! I loved every single one of them. I ended up choosing four different designs - you can see them all in the video below.||
14/11/2019, 12:24  || others || Jacinda Ardern was live. || In Palmerston North for a few health announcements!||
13/11/2019, 17:31  || others || Jacinda Ardern || Welcome to the world, Koha Te Aroha! Some of you might have seen this wee kiwi on my Facebook page, tapping on its egg before it hatched on Friday. I was given the treat of naming P11/11/2019, 15:34  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 11 November 2019||
07/11/2019, 13:04  || others || Jacinda Ardern was live. || Visiting a kiwi that’s about to hatch!||
02/11/2019, 08:20  || others || Jacinda Ardern || To mark two years in Government, I was issued a wee challenge...||
30/10/2019, 20:43  || others || Jacinda Ardern || A very blurry shot of me being very excited to hand over the Prime Minister’s Excellence Award for Vocational Education at Western Springs College. For the first time this award is being handed out in secondary schools and kura across the country to raise the profile of vocational education and taking up opportunities like apprenticeships...and it comes with $2,000 to help with future learning (or costs like tools for those who go into the trades.) Couldn’t imagine handing it over to a better recipient than Ihaka, who plans to become a builder, loves rugby league, and helps coach primary kids. All of that should explain the blurry smiles!||
30/10/2019, 18:10  || others || Jacinda Ardern || It’s one thing to design something on paper when you’re in government, it’s another to be able to see it in action. The roll out of nurses in secondary schools is something I absolutely believe in - and I’m proud that we’re now reaching so many young people and supporting their physical health, but especially their mental well being. Thanks Rosehill College for showing me the difference this programme is making!||
28/10/2019, 23:05  || others || Jacinda Ardern || In 2015 some young people from Otorohanga College learnt the history of the New Zealand wars, and rightly decided it was a period in our history that should be better acknowledged. And now that is beginning to happen. Te P24/10/2019, 10:22  || others || Jacinda Ardern was live. || Here with Minister James Shaw to talk about our latest climate change announcements!||
23/10/2019, 17:39  || others || Jacinda Ardern was live. || A quick update on the fire at the Convention Centre in Auckland||
21/10/2019, 16:04  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 21 October 2019||
19/10/2019, 12:37  || others || Jacinda Ardern || I can’t say I’ve ever said this before - but Nelson, you have a beautiful airport! A real pleasure to open it officially this morning, and to also visit the Cawthron institute to see the great work they’re doing on innovative projects like the use of seaweed to help reduce our agricultural emissions. Hope the sun shines on you all for the rest of the day in sunny Nelson, and if you’re lucky enough to be visiting I hope you see the light show in the town centre as part of the Nelson Arts Festival - it’s amazing!||
14/10/2019, 16:03  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 14 October 2019||
10/10/2019, 21:42  || others || Jacinda Ardern || Massive fail on my part on the photo front today. Visited the Air force team out at Whenuapai today, including an amazing group of young people who were part of the LSV (Limited Service Volunteer) programme, but I only managed to remember to take a pic as we were leaving. Special thanks to the young people who joined LSV via work and income who shared their stories with me. It may only be a 6 week course but as one young man said to me “I was a bit lost, this helped me find my accelerator”||
10/10/2019, 11:13  || others || Jacinda Ardern || A ribbon cutting (with glittery scissors no less) to open 30 new transitional housing units for Monte Cecilia in South Auckland. These units will provide shelter for 120 families a year. I’m standing next to Sister Mary Foy who has been helping to provide emergency housing in NZ for more than 30 years - a true treasure.||
06/10/2019, 15:51  || others || Jacinda Ardern was live. || Day two of Tuia. Thought I’d give you a quick tour of the mobile educational truck that will be travelling around the country.||
05/10/2019, 16:27  || others || Jacinda Ardern was live. || Just finishing up the first day of Tuia||
30/09/2019, 15:02  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet Press Conference 30 September||
25/09/2019, 21:45  || others || Jacinda Ardern || It’s always a profound privilege to share a National Statement on behalf of New Zealand at the UN. And here it is in case anyone wanted to take a look.....||
25/09/2019, 12:24  || others || Jacinda Ardern was live. || Getting late here in NY but join me on the walk over to the UN for the national statement!||
23/09/2019, 09:19  || others || Jacinda Ardern was live. || Bit of walking and talking on the way to the UN...||
22/09/2019, 11:10  || others || Jacinda Ardern || I know there will be a few Christmas grinches who'll hate to hear this, but it's that time of year again! Some of you might remember last year I asked for help from children and young people to design a Christmas card. We got such an amazing response, we're doing it all again. If you know a young person who loves to draw or paint, or who just needs a bit of school holiday entertainment, check out how they can get involved below.||
16/09/2019, 16:05  || others || Jacinda Ardern || #LIVE Post-Cabinet press conference 16 September||
05/09/2019, 21:19  || others || Jacinda Ardern || Spent a day in Dunedin without consuming a cheese roll and still it was brilliant! Thanks to the Otago Daily Times for inviting me to the Class Act awards to celebrate your amazing students, and to Spout Alternatives for the introduction to your brilliant initiative to reduce waste at cafes by having milk supplied in kegs instead of plastic bottles. Finished up the day at a CTU forum with some great questions and discussion. Now back to rainy Auckland!||
02/09/2019, 15:06  || others || Jacinda Ardern was live. || #LIVE: Post-Cabinet press conference 2 September 2019||
01/09/2019, 13:20  || others || Jacinda Ardern was live. || Just made a really significant announcement on cancer care in NZ, thought we’d share a few more details here...||
30/08/2019, 13:53  || others || Jacinda Ardern || Everyday I leave for work in Wellington I walk past these - the postcards children sent us when we asked them what we needed to do to make New Zealand the best place possible for them. I can’t think of a better thing to remember on the way to the Beehive. If you want to see what we turned all those messages from children into, check out our new strategy here : https://childyouthwellbeing.govt.nz/||
29/08/2019, 21:36  || others || Jacinda Ardern was live. || Thought I’d share a few more details about our school lunch programme that we announced today....||
27/08/2019, 10:58  || others || Jacinda Ardern || I thought it would be hard to top catching up with the Silver Ferns after their World Cup win...then I followed them down to the front of Parliament and watched as they were welcomed by a crowd of children and young people. Hearing the cheers for them was the highlight of my day. Thanks Silver Ferns from all of us!||
25/08/2019, 08:59  || others || Jacinda Ardern || Join us at Parliament on Monday to celebrate our world champion Silver Ferns! See you there at 12.||
20/08/2019, 21:21  || others || Jacinda Ardern was live. || Bit of an update on today, including on the big issue of fuel prices...||
19/08/2019, 16:04  || others || Jacinda Ardern was live. || #LIVE: Press conference 19 August 2019||
13/08/2019, 10:09  || others || Jacinda Ardern was live. || Rotorua Boys High marking the announcement of PGF funding to restore the museum...||
12/08/2019, 15:01  || others || Jacinda Ardern was live. || #LIVE: Press conference 12 August 2019||
11/08/2019, 12:34  || others || Jacinda Ardern was live. || A water announcement in the wind!||
09/08/2019, 11:07  || others || Jacinda Ardern || Spotted on the way to Sir Brian Lochore’s send off yesterday- an All Blacks flag flying at half mast on a farm outside of Carterton. A huge and fitting service for a man who deserved no less. RIP BJ.||
05/08/2019, 16:00  || others || Jacinda Ardern was live. || #LIVE: Press conference 5 August 2019||
04/08/2019, 15:44  || others || Jacinda Ardern was live. || Just finished a big announcement on cancer treatment (radiation therapy) in New Zealand, thought I’d share a few more details....||
28/07/2019, 11:07  || others || Jacinda Ardern || This is it - the HMNZS Otago about to set sail to Tokelau. It will take us roughly 24 hours to get there. We have a day on each atoll before heading back. Little known fact - Tokelau is a territory of New Zealand, and the people of Tokelau are citizens of New Zealand. It’s been 15 years since a Kiwi PM visited, so I made a commitment a while ago that I would go and hear for myself whether the people were still happy with our relationship and the work we need to keep doing t... See more||
26/07/2019, 18:30  || others || Jacinda Ardern was live. || An update on Ihum22/07/2019, 19:58  || others || Jacinda Ardern was live. || Today we released the second part of our gun reforms - join me if you’re keen to hear a few extra details.....||
22/07/2019, 15:59  || others || Jacinda Ardern was live. || #LIVE: Press conference 22 July 2019||
18/07/2019, 18:50  || others || Jacinda Ardern was live. || Quick update from Australia..||
14/07/2019, 19:38  || others || Jacinda Ardern was live. || Like most of NZ, it won’t be a typical sunday night in this household||
03/07/2019, 18:57  || others || Jacinda Ardern || Today I took part in something that is a rare privilege - the swearing in of a new Minister with the Governor General. Huge congratulations to Poto Williams who joins our team of Ministers, and to Kris Faafoi who moves into Cabinet. I’m proud of the people who represent NZ everyday in this Government.||
