 TIME || TYPE  || TITLE || STATUS  ||   LINKS(Shared Posts/Shared Links etc) 

23/11/2019, 17:19 || others || Paula Bennett || In the year of delivery Labour have not delivered on their promises. || 
15/11/2019, 15:37 || others || Paula Bennett || What does Education mean to you? For me, it's about opportunity. || 
14/11/2019, 18:00 || others || Paula Bennett is with Round Here. || I love Christmas, but even I think this is a bit early! All the same, I loved the opportunity to put on this Trelise dress and dream about a few days off over Christmas || 
14/11/2019, 17:21 || others || Paula Bennett || National supports high quality Early Childhood Education (ECE) that allows families to choose the care and education arrangements that suit their circumstances and support their children to thrive. We are committed to lifting the quality of ECE across the country and welcome feedback on the proposals in our discussion document || 
13/11/2019, 09:44 || others || Paula Bennett || Today we launched our Education Discussion Document that will help us form our Education Policies leading into the 2020 General Election. A National Government will lift the quality of teaching and learning in New Zealand because we know a good education creates opportunities Have a read of what we are proposing and give us your feedback. || 
12/11/2019, 18:00 || others || Paula Bennett || What should happen to Fees Free? || 
10/11/2019, 08:30 || others || Paula Bennett || 22,000 more people on the dole since National left office. There's clearly no plan to get people in to work. It's just not fair on hard working, tax paying Kiwis! || 
08/11/2019, 18:03 || others || Paula Bennett || Outrageous Fortune was a cultural phenomenon that had Kiwis across the nation proudly 'reclaiming their inner Bogan.' I've always been a proud Westie and the show played a part in making it okay to be a Westie. Happy birthday NZ On Air! Here's to another 30 years!. || 
08/11/2019, 10:10 || others || Paula Bennett || Ridiculous comment from a Labour MP. This is the kind of thinking from Labour that sees welfare dependency skyrocket whenever they’re elected. Being on the dole shouldn’t be a long-term lifestyle choice. Insulting to our hardworking farmers and exporters. || 
04/11/2019, 17:27 || others || Paula Bennett || We fixed the PM's video for her. || 
04/11/2019, 12:22 || others || Paula Bennett || The number of food hardship grants paid out since the election has doubled as everyday Kiwis are getting hammered by the rising cost of living. New Zealanders can’t afford this Government. || 
01/11/2019, 12:03 || others || Paula Bennett || I am lucky to be in Blenheim today with local MP Stuart Smith MP, visiting local businesses like Mills Bay Mussels, Thanks for the tour and the delicious mussels! || 
01/11/2019, 08:00 || others || Paula Bennett || New Zealand has one of the worst rates of child abuse in the developed world. Police respond to one incidence of family violence every seven minutes. National will invest further to extend the ISR initiative to more communities, to further reduce family violence. || 
31/10/2019, 16:30 || others || Paula Bennett || A part of our Social Services Discussion Document, we are proposing new ways we want to support new parents and their babies || 
31/10/2019, 14:37 || others || Paula Bennett || My heart breaks reading this story. Kia kaha Lisa and Tama and other families that suffer from Spinal Muscular Atrophy 30/10/2019, 15:24 || others || Paula Bennett || Today we released our Social Services Discussion Document that coincides with our belief that social welfare should be a hand-up not a hand-out. Have a read of what we are proposing and give us your feedback. https://www.national.org.nz/social_services || 
29/10/2019, 18:00 || others || Paula Bennett || #BREAKING: National will block gang members from receiving a benefit if they can’t prove they don’t have illegal income or assets. Stay tuned tomorrow as National releases our Social Services Discussion Document. || 
21/10/2019, 13:18 || others || Paula Bennett || Labour is failing to deliver on its promises. || 
18/10/2019, 09:00 || others || Paula Bennett || An increase in gang membership means an increase in crime in our communities and more victims. You can't trust Labour on law and order. || 
17/10/2019, 17:01 || others || Paula Bennett || More than 22,000 extra people have gone on the dole under Labour. New Zealander's can't afford this Government. || 
12/10/2019, 13:42 || others || Paula Bennett || Was great to meet Stephen Lecce the Minister of Education for Ontario. || 
08/10/2019, 17:15 || others || Paula Bennett || Under this Government there has been a 22.6 per cent increase in patched and prospect gang members in the Waitemat08/10/2019, 09:04 || others || Paula Bennett || Currently in Canada looking at their legalising cannabis changes. Visited Canopy Growth who grow and manufacture cannabis for both medicinal and recreational use. That is a bag of about 50 joints (that can’t be sold like that to individuals). The regulations are stringent. I was quite taken back in Vancouver at how much marijuana I could smell in the streets. Also found time to observe the elections and get out and about with a couple of conservative candidates || 
07/10/2019, 15:42 || others || Paula Bennett || The Government's soft on crime approach has led to a 26% increase in gang membership. Gangs do nothing but peddle misery, are disrespectful and violent to women and create victims. National is the party of law and order. We will release a comprehensive Gang Plan in 2020 that will crack down hard on gangs. || 
