 TIME || TYPE || TITLE || STATUS 

28/11/2019, 15:31  || others || Simon Bridges is at Radius Fulton. || Meeting people like I did today at the Radius Fulton Rest Home is such a privilege. Thank you for having me, I hope to return soon.||
28/11/2019, 12:15  || others || Simon Bridges || Gang opposes a plan that will crack down on gangs' criminal behaviour. What a surprise. I make no apologies for our approach. I've seen the misery gangs peddle, I'm not going to stand by and let it continue.||
27/11/2019, 09:06  || others || Simon Bridges || I've seen firsthand the misery gangs peddle and I make no apologies for cracking down on them. Kiwis deserve to feel safe in their own communities. Credit: Breakfast||
26/11/2019, 17:30  || others || Simon Bridges || Violent gangs are growing rapidly under Labour, New Zealand First and the Greens. National will take back control.||
26/11/2019, 12:30  || others || Simon Bridges was live. || #LIVE Launching our Law and Order Discussion Document||
26/11/2019, 08:28  || others || Simon Bridges || Gang numbers are up 26% under Labour and Kiwis are sick of escalating violence and intimidation in our towns and cities. We're proposing a unit to target, interrupt and harass gangs, modelled on NSW's Strike Force Raptor. We're going to take back control.||
25/11/2019, 20:15  || others || Simon Bridges || ||
24/11/2019, 19:46  || others || Simon Bridges || Working prisons were introduced by National to get prisoners doing something productive. It's currently an opt-in system. National is proposing that it becomes compulsory. Working prisons provide people with the skills and opportunities they need so they're able to become contributing members of society. It's currently estimated that around 59% of prisoners participate in in employment or industry training. This helps in achieving better reintegration into the community when... See more||
24/11/2019, 12:44  || others || Simon Bridges || Labour wants to give prisoners rights, we want to give victims rights. I helped put Jason Reihana behind bars after he brutally murdered the mother of his children and her partner. The victims' families weren't told he was being released.... See more||
20/11/2019, 10:14  || others || Simon Bridges || Here's the reality under Labour. Rents are up $50 a week, electricity prices are rising and petrol taxes are being piled on. Source: Breakfast||
19/11/2019, 14:13  || others || Simon Bridges || A privilege to meet with His Royal Highness Prince Charles this morning. I gave Charles some beautiful Pohutukawa Honey from the Mt Maunganui Golf Course and "Time for Bed, Little Kiwi" by Bob Darroch. I hope his grandkids love the book as much as my kids do.||
19/11/2019, 10:00  || others || Simon Bridges || I went to the West Coast on Sunday to show my support and announce Maureen Pugh MP as National’s spokesperson for the region. The Government is making a full frontal assault on Coasters’ livelihoods. It’s trying to ban whitebaiting, it’s banning mining on conservation land, it’s blocking the Waitaha Hydro Scheme and it’s putting tough restrictions on farming.... See more||
18/11/2019, 12:35  || others || Simon Bridges || The reality is gangs are terrorising our communities and they're growing rapidly under this Government. Kiwis are sick of it. National will crack down hard on gangs.||
17/11/2019, 20:47  || others || Simon Bridges || Got home after a couple of days on the West Coast and my kids have left me the last decoration to put up!||
17/11/2019, 14:15  || others || Simon Bridges || The West Coast is full of hardworking and passionate New Zealanders. Many of their livelihoods depend on the land and the Government wants to rip that out from under them. The Government is making a full frontal assault on this region. It is attempting to ban whitebaiting, it’s banning mining on all conservation land, blocking the Waitaha Hydro Scheme and putting tough restrictions on farming. All of these things are the lifeblood of the West Coast. Coasters have had enough ... See more||
17/11/2019, 10:39  || others || Simon Bridges || Great day to be on the West Coast with Maureen Pugh MP at the Call to Action protest. Coasters can’t afford another three years of this Government and its constant attacks on West Coast livelihoods. They’re making their voice heard and we’re listening.||
17/11/2019, 07:14  || others || Simon Bridges || The Mongrel Mob’s PR person said on TV this week that Kiwis would be “blown away” if they understood “what really happens” in the gangs. Well I’ve seen what really happens.||
15/11/2019, 14:14  || others || Simon Bridges || Education is a great leveller which allows us to overcome the circumstances into which a child is born. It will also skill up and make New Zealand more productive and strong, allowing us to do so much, from building more roads and houses to solving scientific problems and understanding ourselves better. I think about it all the time for my own three young children, Emlyn, Harry and Jemima, and I know all parents do.||
13/11/2019, 17:30  || others || Simon Bridges || We want to see our children go on and achieve great things. We value education, we value the work our teachers do, and we want to ensure our children are supported. Today we launched our Education Discussion Document - this document is part of the biggest policy development process by an Opposition ever. Read it and have your say here: www.national.org.nz/education||
13/11/2019, 09:59  || others || Simon Bridges || I just launched National’s Education Discussion Document. Education is one of my top priorities. National will give Kiwi kids the skills and opportunities to succeed in life.||
13/11/2019, 07:48  || others || Simon Bridges was live. || #LIVE: Launching our Education Discussion Document.||
12/11/2019, 17:30  || others || Simon Bridges || What should happen to Fees Free?||
11/11/2019, 19:19  || others || Simon Bridges || Today we remember all those who fought for the freedoms we treasure. We will remember them.||
09/11/2019, 19:07  || others || Simon Bridges || Excited about #U2Auckland tonight. I last saw U2 at Western Springs as a 12 year old, over 30 years ago, when my big brother Mark took me to the Rattle & Hum When Love Comes to Town tour. Awesome to do it again.||
08/11/2019, 12:19  || others || Simon Bridges || 22,000 more people on the dole since National left office. There's clearly no plan to get people in to work. It's just not fair on hard working, tax paying Kiwis!||
07/11/2019, 16:29  || others || Simon Bridges || #WATCH: National is supporting the Zero Carbon Bill. We have taken a bipartisan approach to climate change but we will continue to fight for the changes we think will make the law better.||
05/11/2019, 19:03  || others || Simon Bridges || Important announcement.||
05/11/2019, 17:48  || others || Simon Bridges || Ducked out of the office today with Ian McKelvie MP to place a bet on the Melbourne Cup. Backed a Kiwi horse with The Chosen One but didn't bring it home. Always next year.||
